20151113_0092.fit  1  2457339.57030444  717.688  368.141  B  -10.366  0.001
20151113_0092.fit  2  2457339.57030444  387.431  584.816  B  -8.244  0.002
20151113_0092.fit  3  2457339.57030444  806.580  571.124  B  -7.026  0.007
20151113_0093.fit  1  2457339.57347419  716.274  367.653  V  -11.327  0.001
20151113_0093.fit  2  2457339.57347419  385.887  584.231  V  -8.976  0.002
20151113_0093.fit  3  2457339.57347419  805.072  570.459  V  -7.914  0.005
20151113_0094.fit  1  2457339.57629662  717.001  367.329  R  -11.838  0.001
20151113_0094.fit  2  2457339.57629662  385.494  584.038  R  -9.371  0.002
20151113_0094.fit  3  2457339.57629662  804.737  570.480  R  -8.457  0.004
20151113_0095.fit  1  2457339.57923698  718.334  368.299  B  -10.377  0.001
20151113_0095.fit  2  2457339.57923698  387.948  584.983  B  -8.240  0.003
20151113_0095.fit  3  2457339.57923698  807.268  571.215  B  -7.028  0.008
20151113_0096.fit  1  2457339.58101775  716.544  367.370  V  -11.361  0.001
20151113_0096.fit  2  2457339.58101775  386.104  583.898  V  -8.993  0.003
20151113_0096.fit  3  2457339.58101775  805.312  570.285  V  -7.949  0.007
20151113_0097.fit  1  2457339.58245107  716.462  367.555  R  -11.954  0.001
20151113_0097.fit  2  2457339.58245107  385.917  584.214  R  -9.403  0.003
20151113_0097.fit  3  2457339.58245107  805.274  570.518  R  -8.490  0.006
20151113_0098.fit  1  2457339.58567279  718.925  367.918  B  -10.387  0.001
20151113_0098.fit  2  2457339.58567279  388.343  584.513  B  -8.243  0.003
20151113_0098.fit  3  2457339.58567279  807.864  570.768  B  -7.028  0.008
20151113_0099.fit  1  2457339.58745356  717.520  366.880  V  -11.348  0.001
20151113_0099.fit  2  2457339.58745356  387.025  583.530  V  -8.974  0.003
20151113_0099.fit  3  2457339.58745356  806.557  569.931  V  -7.915  0.007
20151113_0100.fit  1  2457339.58854  716.972  366.572  R  -11.856  0.001
20151113_0100.fit  2  2457339.58854  386.486  583.132  R  -9.309  0.004
20151113_0100.fit  3  2457339.58854  805.940  569.533  R  -8.392  0.009
20151113_0101.fit  1  2457339.59055122  719.411  367.428  B  -10.439  0.001
20151113_0101.fit  2  2457339.59055122  388.953  584.085  B  -8.294  0.003
20151113_0101.fit  3  2457339.59055122  808.225  570.425  B  -7.062  0.008
20151113_0102.fit  1  2457339.59233198  717.671  367.491  V  -11.340  0.001
20151113_0102.fit  2  2457339.59233198  387.201  584.029  V  -8.956  0.003
20151113_0102.fit  3  2457339.59233198  806.541  570.549  V  -7.902  0.008
20151113_0103.fit  1  2457339.59341796  717.412  366.994  R  -11.650  0.001
20151113_0103.fit  2  2457339.59341796  386.756  583.547  R  -9.083  0.005
20151113_0103.fit  3  2457339.59341796  806.079  570.099  R  -8.183  0.011
20151113_0104.fit  1  2457339.59487859  719.505  367.665  B  -10.449  0.001
20151113_0104.fit  2  2457339.59487859  389.025  584.359  B  -8.294  0.003
20151113_0104.fit  3  2457339.59487859  808.462  570.690  B  -7.076  0.008
20151113_0105.fit  1  2457339.59665937  717.941  366.684  V  -11.389  0.001
20151113_0105.fit  2  2457339.59665937  387.470  583.216  V  -9.007  0.003
